power(kW),odometer,trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,ecr_deviation,encoded_driving_style,encoded_tire_type
49.0,176977.0,50.7,6.5,True,False,True,12.60933549432739,False,0.0,-2.3906645056726092,0.0,1
49.0,176926.0,49.9,7.3,True,False,True,14.63,False,0.0,-0.3699999999999992,0.0,1
49.0,176876.0,51.5,7.1,True,False,True,13.79,False,0.0,-1.2100000000000009,0.0,1
49.0,176824.0,52.5,7.4,True,False,True,14.1,False,0.0,-0.9000000000000004,0.0,1
49.0,176771.0,15.4,6.5,True,False,True,14.47,False,0.0,-0.5299999999999994,0.0,1
49.0,176756.0,30.0,3.55,True,False,True,14.47,False,0.0,-0.5299999999999994,0.0,1
49.0,176726.0,40.6,3.9,True,True,True,14.47,False,0.0,-0.5299999999999994,0.0,1
49.0,176685.0,49.6,4.09,True,True,True,14.47,False,0.0,-0.5299999999999994,0.0,1
49.0,176636.0,31.0,6.042584269662921,True,False,True,12.60933549432739,False,0.0,-2.3906645056726092,0.0,1
49.0,176605.0,19.9,5.2,True,False,True,14.57,False,0.0,-0.4299999999999997,0.0,1
49.0,176585.0,35.0,2.8,True,False,True,14.57,False,0.0,-0.4299999999999997,0.0,1
49.0,176550.0,49.7,7.2,True,False,True,14.49,False,0.0,-0.5099999999999998,0.0,1
49.0,176501.0,48.8,7.3,True,False,True,14.96,False,0.0,-0.0399999999999991,0.0,1
49.0,176452.0,49.7,7.0,True,False,True,14.08,False,0.0,-0.92,0.0,1
49.0,176402.0,32.7,4.7,True,True,True,15.51,False,0.0,0.5099999999999998,0.0,1
49.0,176368.0,37.6,0.37,True,True,True,15.51,False,0.0,0.5099999999999998,0.0,1
49.0,176331.0,52.7,8.1,True,False,True,14.86,False,0.0,-0.1400000000000005,0.0,1
49.0,176278.0,48.9,7.0,True,False,True,14.86,False,0.0,-0.1400000000000005,0.0,1
49.0,176229.0,50.9,7.8,True,False,True,15.32,False,0.0,0.3200000000000003,0.0,1
49.0,176178.0,52.2,7.9,True,False,True,15.13,False,0.0,0.1300000000000007,0.0,1
49.0,176126.0,50.7,7.6,True,False,True,14.99,False,0.0,-0.0099999999999997,0.0,1
49.0,176075.0,62.9,8.9,True,True,True,14.66,False,0.0,-0.3399999999999998,0.0,1
49.0,176012.0,60.1,7.9,True,True,True,14.66,False,0.0,-0.3399999999999998,0.0,1
49.0,175951.0,18.2,2.92,True,False,True,16.04,False,0.0,1.0399999999999991,0.0,1
49.0,175850.0,49.8,7.6,True,False,True,15.26,False,0.0,0.2599999999999998,0.0,1
